AdminID,AdminName,JAname,YTcustomURL,TwitchName,color0,mark0
CVHLHL2020040600,Ayunda Risu,Ayunda Risu,AyundaRisu,,#ef8381,128063
CVHLHL2020040601,Moona Hoshinova,Moona Hoshinova,MoonaHoshinova,,#784dbe,128302
CVHLHL2020040602,Airani Iofifteen,Airani Iofifteen,AiraniIofifteen,,#7bdf0e,127912
CVHLHL2021070700,IRyS,IRyS,IRyS,,#991150,128142
CVHLHL2021081700,Tsukumo Sana,Tsukumo Sana,TsukumoSana,,#d381a9,129680
CVHLHL2021081701,Ceres Fauna,Ceres Fauna,CeresFauna,,#36c865,127807
CVHLHL2021081702,Ouro Kronii,Ouro Kronii,OuroKronii,,#221d95,9203
CVHLHL2021081703,Nanashi Mumei,Nanashi Mumei,NanashiMumei,,#c09170,129718
CVHLHL2021081704,Hakos Baelz,Hakos Baelz,HakosBaelz,,#fd3c30,127922
CVHLHL2020120100,Kureiji Ollie,Kureiji Ollie,KureijiOllie,,#b7030e,x1f9df:x200d:x2640:xfe0f
CVHLHL2020120101,Anya Melfissa,Anya Melfissa,AnyaMelfissa,,#e89c0f,127810
CVHLHL2020120102,Pavolia Reine,Pavolia Reine,PavoliaReine,,#040f7f,129434
CVHLHL2023072600,Shiori Novella,Shiori Novella,ShioriNovella,,#8c80ae,x1f441:x200d:x1f5e8
CVHLHL2023072601,Koseki Bijou,Koseki Bijou,KosekiBijou,,#4b43df,x1f5ff
CVHLHL2023072602,Nerissa Ravencroft,Nerissa Ravencroft,NerissaRavencroft,,#1e27ac,x1f3bc
CVHLHL2023072603,Fuwawa Abyssgard,Fuwawa Abyssgard,,,#2d87f7,x1f43e:x1fa75
CVHLHL2023072604,Mococo Abyssgard,Mococo Abyssgard,,,#ff82c9,x1f43e:x1fa77
CVHLHL2023072605,Fuwawa Abyssgard + Mococo Abyssgard,Fuwawa Abyssgard + Mococo Abyssgard,FUWAMOCOch,,#ffffff,x1f43e:x1fa75:x1f43e:x1fa77
CVHLHL2022032400,Vestia Zeta,Vestia Zeta,VestiaZeta,,#97a1ae,x1F4DC
CVHLHL2022032401,Kaela Kovalskia,Kaela Kovalskia,KaelaKovalskia,,#dc2528,x1F528
CVHLHL2022032402,Kobo Kanaeru,Kobo Kanaeru,KoboKanaeru,,#161c4f,x2614
CVHLHL2023090400,Hiodoshi Ao,火威青,HiodoshiAo,,#1d3467,x1f58b:xfe0e
CVHLHL2023090401,Otonose Kanade,音乃瀬奏,OtonoseKanade,,#ffe7b5C,x1f3b9:x2728
CVHLHL2023090402,Ichijou Ririka,一条莉々華,IchijouRirika,,#f47da9,x1f303
CVHLHL2023090403,Juufuutei Raden,儒烏風亭らでん,JuufuuteiRaden,,#3c7c71,x1f41a
CVHLHL2023090404,Todoroki Hajime,轟はじめ,TodorokiHajime,,#b6b9ff,x1f427:x26a1
CVHLHS2023111600,Jurard T Rexford,Jurard T Rexford,JurardTRexford,,#383635,x1F996
CVHLHS2023111601,Goldbullet,Goldbullet,Goldbulletch,,#0a6463,x1F985
CVHLHS2023111602,Octavio,Octavio,Octavio_en,,#1c449a,x267E
CVHLHS2023111603,Crimzon Ruze,Crimzon Ruze,CrimzonRuze,,#e60012,x1F4A2
