AdminID,StreamKind,livestatus,schedule_str,starttime_str,Platform,StreamID,otherAdminIDs,StreamTitle
CVHLPR2016061300,video,finished,2021-01-10T05:18:42Z,2021-01-10T05:18:42Z,Youtube,4h9opriUmu0,,Hello everyone!
CVHLPR2016061300,video,finished,2021-01-05T02:25:21Z,2021-01-05T02:25:21Z,Youtube,al5NBxSRKjU,,VR live streaming system
CVHLPR2016061300,video,finished,2021-01-04T06:59:08Z,2021-01-04T06:59:08Z,Youtube,BRw-oL37ICA,,VR table tennis game
CVHLPR2016061300,video,finished,2021-01-03T00:04:13Z,2021-01-03T00:04:13Z,Youtube,YXAcNfkApzg,,Shinkawa Office
CVHLPR2016061300,Live,finished,2016-06-14T05:40:00Z,2016-06-14T05:57:01Z,Youtube,RywY1WbpbTs,,Shibuya office2
CVHLHL2018110800,video,finished,2024-08-28T10:00:29Z,2024-08-28T10:00:29Z,Youtube,XDrbafm2OkY,CVHLHL2018060101:CVHLHL2020080601:CVHLHL2019122500,大事な日、ぜんぶ寝過ごした人#ほろぼの学園 #ホロライブ #hololive #白上フブキ #天音かなた #桃鈴ねね
CVHLHL2018110800,video,finished,2024-08-27T10:01:00Z,2024-08-27T10:01:00Z,Youtube,vvOCKdeEgqw,CVHLHL2020112602:CVHLHL2020112600,学校の宿題で暗号使ってくる奴 #ほろぼの学園 #ホロライブ #hololive #ラプラス #博衣こより
CVHLHL2018110800,video,finished,2024-08-27T08:29:53Z,2024-08-27T08:29:53Z,Youtube,tWSEPiAr_3Q,CVHLHL2018080800,【湊あくあ】6年間の活動に、ありがとう【Shiny Smily Story】
CVHLHL2018110800,Live,finished,2024-08-26T11:00:00Z,2024-08-26T10:57:59Z,Youtube,_o2I2PvcSVM,CVHLHL2018060101:CVHLHL2022040100:CVHLHL2019080100:CVHLHL2019122500:CVHLHL2020080600,【ドデカミンコラボ】嘘つきは偽ドデカ民のはじまり【#ホロライブドデカサマー】
CVHLHL2018110800,video,finished,2024-08-26T10:00:11Z,2024-08-26T10:00:11Z,Youtube,C01cVwPR8VE,CVHLHL2018080800:CVHLHL2019070800,湊あくあvs.兎田ぺこら #hololive #ホロライブ #湊あくあ #兎田ぺこら #memes
CVHLHL2017090700,Live,finished,2024-08-27T12:00:00Z,2024-08-27T12:00:50Z,Youtube,wqruoJj2QWE,,【あつまれどうぶつの森】久々のあつ森でレジャーを楽しむ！！【ホロライブ/ときのそら】
CVHLHL2017090700,Live,finished,2024-08-26T11:00:00Z,2024-08-26T11:15:58Z,Youtube,DPrFCikvAfg,,【New Single】「おかえりなさい」発売記念ネットサイン会【ホロライブ/ときのそら】
CVHLHL2017090700,Live,finished,2024-08-24T13:00:00Z,2024-08-24T13:00:51Z,Youtube,m9pji3WGwYo,CVHLHL2023090404,【世界のアソビ大全51】ぬんぬんばんちょーで勝負！！【ホロライブ/ときのそら/轟はじめ】
CVHLHL2017090700,Live,finished,2024-08-24T06:30:00Z,2024-08-24T06:31:49Z,Youtube,gwOK3d92DGA,,【お宝マウンテン】みんなほしいんだよね～【ホロライブ/ときのそら】
CVHLHL2017090700,Live,finished,2024-08-21T13:00:00Z,2024-08-21T13:01:24Z,Youtube,76cHcbxUWMw,,【Minecraft】なんかアップデートあったの？【ホロライブ/ときのそら】
CVHLHL2018030400,Live,live,2024-08-29T05:00:00Z,2024-08-29T05:00:44Z,Youtube,1TkdPzRlxYI,,【スト6 #4】 SLEEP FIGHTER 🔥対人に慣れたいエレガント～　 #エレPON 【ホロライブ / ロボ子さん】
CVHLHL2018030400,Live,finished,2024-08-28T03:00:00Z,2024-08-28T03:02:32Z,Youtube,_EUjBLL8juw,,【スト6 #3】 SLEEP FIGHTER 🔥エレガントだろ!?どりゃああ！　合流は１３時予定　 #エレPON 【ホロライブ / ロボ子さん】
CVHLHL2018030400,video,finished,2024-08-27T08:16:13Z,2024-08-27T08:16:13Z,Youtube,JVRMI1zKSPo,,ろぼちゃん、つま先立ち出来ます✋  #ロボ子さん  #hololive  #vtuber #ロボット
CVHLHL2018030400,Live,finished,2024-08-26T11:00:00Z,2024-08-26T11:00:19Z,Youtube,c_sHtIEooNI,CVHLHL2018080800:CVHLHL2018090300:CVHLHL2018081700:CVHLHL2020112600,【VALORANT】ゆるっ♪女子会カスタムに潜入だ～～【ホロライブ / ロボ子さん】
CVHLHL2018030400,Live,finished,2024-08-25T14:00:00Z,2024-08-25T14:01:03Z,Youtube,inrxjrDxkQI,,【#05　最終回前編🌟  星のカービィ ディスカバリー】完全初見で救う！裏ボス？レオもボクが仕方ないけど！救ってあげちゃうんだから！！！！うっ【ホロライブ / ロボ子さん】
CVHLHL2018122500,video,finished,2024-08-28T09:00:03Z,2024-08-28T09:00:03Z,Youtube,4XwLAXYEZWY,,みこちが #絶対アイドル辞めないで 踊ってみた🤍そう想ってもらえるアイドルになる！#shorts #=LOVE
CVHLHL2018122500,Live,finished,2024-08-27T11:00:00Z,2024-08-27T11:02:36Z,Youtube,FbrDMIkQk88,CVHLHL2018091600:CVHLHL2018110800,【 Chained Together 】真・真・最終回！うるさい２人が共に鎖で繋がれ頂上を目指す９日目🔥⛓【#みこスバ】
CVHLHL2018122500,Live,finished,2024-08-26T12:00:00Z,2024-08-26T12:01:35Z,Youtube,SLcFmBoP8A4,CVHLHL2018120600:CVHLHL2019122503:CVHLHL2019041300:CVHLHL2019120100:CVHLHL2018091600:CVHLHL2018060101:CVHLHL2019122502:CVHLHL2019040600:CVHLHL2018122500:CVHLHL2018110800,【 7days to die 】 #ホロ7DTD 強くなる‼第二拠点探ししたりするぜ～～～‼🔥【ホロライブ/さくらみこ】
CVHLHL2018122500,Live,finished,2024-08-24T13:00:00Z,2024-08-24T13:04:21Z,Youtube,GjNxqDxFaSA,CVHLHL2018120600:CVHLHL2019122503:CVHLHL2019120100:CVHLHL2018060101:CVHLHL2019122502:CVHLHL2018091600:CVHLHL2019041300:CVHLHL2019040600:CVHLHL2018122500:CVHLHL2018110800,【 7days to die  】 #ホロ7DTD  襲撃回🔥 I俺達は負けない！！！！！！！！！！！にぇ【ホロライブ/さくらみこ】
CVHLHL2018122500,video,finished,2024-08-24T09:00:45Z,2024-08-24T09:00:45Z,Youtube,qPO5hP_-SZE,,仮面ライアー217ちゃんが #DAIDAIDAIファンタジスタ 踊ってくれたにぇ🌸💓#shorts
CVHLHL2019120100,Live,finished,2024-08-28T09:30:00Z,2024-08-28T09:24:32Z,Youtube,yQzDwdnQzqQ,,【雑談】アメリカから帰ってきたよおおおおおおおおおおお【星街すいせい / ホロライブ】
