AdminID,StreamKind,livestatus,schedule_str,starttime_str,Platform,StreamID,otherAdminIDs,StreamTitle
CVHLPR2016061300,video,finished,2021-01-10T05:18:42Z,2021-01-10T05:18:42Z,Youtube,4h9opriUmu0,,Hello everyone!
CVHLPR2016061300,video,finished,2021-01-05T02:25:21Z,2021-01-05T02:25:21Z,Youtube,al5NBxSRKjU,,VR live streaming system
CVHLPR2016061300,video,finished,2021-01-04T06:59:08Z,2021-01-04T06:59:08Z,Youtube,BRw-oL37ICA,,VR table tennis game
CVHLPR2016061300,video,finished,2021-01-03T00:04:13Z,2021-01-03T00:04:13Z,Youtube,YXAcNfkApzg,,Shinkawa Office
CVHLPR2016061300,Live,finished,2016-06-14T05:40:00Z,2016-06-14T05:57:01Z,Youtube,RywY1WbpbTs,,Shibuya office2
CVHLHL2018110800,video,finished,2024-12-13T10:00:47Z,2024-12-13T10:00:47Z,Youtube,glgmm2U_vWk,CVHLHL2018082000:CVHLHL2019080101:CVHLHL2019122503:CVHLHL2020112600,仕草でわかる心理学！ #hololive #ホロライブ #コント #アニメ
CVHLHL2018110800,Live,upcoming,2024-12-16T09:00:00Z,,Youtube,TKxsHQpTV34,CVHLHL2020112602:CVHLHL2023072605,【世界の食卓】飯テロなるか？フワモこよの極上レシピ【#クッキングテスト】
CVHLHL2018110800,video,finished,2024-12-11T10:00:01Z,2024-12-11T10:00:01Z,Youtube,aaRzw4ygBIo,CVHLHL2018060101:CVHLHL2020080604:CVHLHL2020112600:CVHLHL2023072605,メイドカフェの限界オタクたち #hololive #ホロライブ #ホロぐら #フワモコ #萌え
CVHLHL2018110800,video,finished,2024-12-09T10:00:03Z,2024-12-09T10:00:03Z,Youtube,5e5BTgfJcFs,CVHLHL2018060100:CVHLHL2023090403,【ホラー】ちいさいアキみつけた #hololive #ホロライブ #秋
CVHLHL2018110800,Live,finished,2024-12-09T09:00:00Z,2024-12-09T09:00:07Z,Youtube,MXEbfG-hudw,CVHLHL2018060100:CVHLHL2020112600:CVHLHL2020112601:CVHLHL2023090402,【大暴露】心理テストで衝撃の結果！本性が丸裸になりました
CVHLHL2017090700,Live,finished,2024-12-14T07:00:00Z,2024-12-14T07:00:47Z,Youtube,ash1BQmjfms,,【歌枠】わぁ、歌っちゃうぞ～【ホロライブ/ときのそら】
CVHLHL2017090700,Live,finished,2024-12-11T13:00:00Z,2024-12-11T13:02:53Z,Youtube,YC2HA4GIlis,,【HoloCure】ミニゲームチャレンジするか・・・【ホロライブ/ときのそら】
CVHLHL2017090700,Live,finished,2024-12-10T12:30:00Z,2024-12-10T12:33:39Z,Youtube,B-DfGRw16xM,,【雑談】最近出かけたお話をします。【ホロライブ/ときのそら】
CVHLHL2017090700,Live,finished,2024-12-09T12:00:00Z,2024-12-09T11:58:25Z,Youtube,JfnBh7eVtpQ,,【ルイージマンション2 HD】ルイージはいつもマンションにいると思ってるわたしの配信【ホロライブ/ときのそら】
CVHLHL2017090700,Live,finished,2024-12-08T11:00:00Z,2024-12-08T10:58:57Z,Youtube,PXhE0zqp9UE,,【歌枠】１時間まったり歌います～！【ホロライブ/ときのそら】
CVHLHL2018030400,Live,finished,2024-12-11T14:00:00Z,2024-12-11T14:02:22Z,Youtube,686zEM9gyNU,,【 TCG Card Shop Simulator 】最近調子どうですか～～？？【ホロライブ / ロボ子さん】
CVHLHL2018030400,Live,finished,2024-12-08T22:00:00Z,2024-12-08T23:35:52Z,Youtube,cMsQgAPHSKw,,【レポ】朝７時☀早起きしてボクの目の手術の話をきくのであーーーるっ✨withご飯【ホロライブ / ロボ子さん】
CVHLHL2018030400,Live,finished,2024-12-02T14:00:00Z,2024-12-02T14:00:56Z,Youtube,KxKYxeIyq1M,,【🎤】ボカロONLY!?深夜のカラオケ覗きに来たの？💕【ホロライブ / ロボ子さん】
CVHLHL2018030400,Live,finished,2024-11-30T14:00:00Z,2024-11-30T14:01:54Z,Youtube,CPfDbFCV8cQ,,【Plants vs. Zombies】Trust me  !!!!!!!【ホロライブ / ロボ子さん】
CVHLHL2018030400,Live,finished,2024-11-28T14:00:00Z,2024-11-28T14:03:59Z,Youtube,uZHVKSIRUic,,【Plants vs. Zombies】久しぶりじゃんんんん🌱【ホロライブ / ロボ子さん】
CVHLHL2018122500,Live,upcoming,2024-12-14T12:00:00Z,,Youtube,D2QbZCiqk6U,CVHLHL2018110800,【 はいしんよてち！ 】にぇ～～～～～～～～～！【ホロライブ/さくらみこ】
CVHLHL2018122500,Live,finished,2024-12-13T10:00:00Z,2024-12-13T10:00:57Z,Youtube,ZzPnpg2f9Ws,CVHLHL2018110800,【同時視聴】イナズマイレブン フットボールフロンティア編をみんなで観るにぇ！！！⚽⚡【ホロライブ/さくらみこ】
CVHLHL2018122500,Live,finished,2024-12-12T10:00:00Z,2024-12-12T10:03:19Z,Youtube,6mKZkq39wEU,CVHLHL2018110800,【 漢字でGO! 集英社マンガ祭 】先行プレイ！人気マンガの台詞の漢字を読めるのか―――⁉【ホロライブ/さくらみこ】
CVHLHL2018122500,video,finished,2024-12-10T10:05:02Z,2024-12-10T10:05:02Z,Youtube,ZzZWyGr-d70,,#LADYCRAZY 踊ってみた🎶#HIMEHINA #さくらみこ #shorts
CVHLHL2018122500,Live,finished,2024-12-09T13:00:00Z,2024-12-09T13:02:33Z,Youtube,6SlmX7BXNWA,CVHLHL2018110800,【 働こう 】ローラーでビジネス界を突き進む！！！！？？？？？？【ホロライブ/さくらみこ】
CVHLHL2019120100,Live,finished,2024-12-13T10:00:00Z,2024-12-13T10:01:52Z,Youtube,eB_t2ddQ-x0,,【雑談】つあー（おおさか）のふりかえりする( ᐛ )🍌※セトリネタバレあり【 星街すいせい / ホロライブ 】
CVHLHL2019120100,video,finished,2024-12-12T12:00:09Z,2024-12-12T12:00:09Z,Youtube,4mdQUsD-6Y8,,【YTFF2024】星街すいせい「ビビデバ」special stage
CVHLHL2019120100,Live,finished,2024-12-10T09:00:00Z,2024-12-10T09:00:21Z,Youtube,Q1s4w-_ujig,,【チラ見せ】Hoshimachi Suisei Live Tour 2024 "Spectra of Nova"【おおきにアリーナ舞洲】
CVHLHL2019120100,video,finished,2024-12-09T09:00:27Z,2024-12-09T09:00:27Z,Youtube,ZXrD67NTif8,,ついに明日は大阪だー‼一緒にビビデバ踊ってね！
CVHLHL2019120100,video,finished,2024-12-08T09:00:34Z,2024-12-08T09:00:34Z,Youtube,UoQfAzMwC-0,,大阪公演まであと2日‼今日はソワレを見せちゃうよッ💃
