AdminID,StreamKind,livestatus,schedule_str,starttime_str,Platform,StreamID,otherAdminIDs,StreamTitle
CVHLPR2016061300,video,finished,2021-01-10T05:18:42Z,2021-01-10T05:18:42Z,Youtube,4h9opriUmu0,,Hello everyone!
CVHLPR2016061300,video,finished,2021-01-05T02:25:21Z,2021-01-05T02:25:21Z,Youtube,al5NBxSRKjU,,VR live streaming system
CVHLPR2016061300,video,finished,2021-01-04T06:59:08Z,2021-01-04T06:59:08Z,Youtube,BRw-oL37ICA,,VR table tennis game
CVHLPR2016061300,video,finished,2021-01-03T00:04:13Z,2021-01-03T00:04:13Z,Youtube,YXAcNfkApzg,,Shinkawa Office
CVHLPR2016061300,Live,finished,2016-06-14T05:40:00Z,2016-06-14T05:57:01Z,Youtube,RywY1WbpbTs,,Shibuya office2
CVHLHL2018110800,video,finished,2024-11-22T10:00:04Z,2024-11-22T10:00:04Z,Youtube,3lK2GqBOid8,CVHLHL2018081700:CVHLHL2019080102:CVHLHL2020112603:CVHLHL2018122500,もしも格ゲーに出演した時のために必殺技を準備しておこう！！#ホロウィッチ #格闘ゲーム #hololive
CVHLHL2018110800,Live,finished,2024-11-20T11:00:00Z,2024-11-20T10:59:19Z,Youtube,uBipBKo6gdw,CVHLHL2023090400:CVHLHL2023090404,【今夜決定！】ユーザー考案！ EXPO限定ドリンク！【#hololivefesEXPO25】
CVHLHL2018110800,video,finished,2024-11-20T10:00:47Z,2024-11-20T10:00:47Z,Youtube,raYED7Pr0jk,CVHLHL2018122500:CVHLHL2018090300:CVHLHL2019122503:CVHLHL2020080601,声出すの禁止！ #hololive #ホロぐら #ホロライブ
CVHLHL2018110800,Live,upcoming,2024-11-25T10:00:00Z,,Youtube,8jwAT0WZ9Js,CVHLHL2020112600,【襲来】3周年直前のラプラスが侵略をしかけてきた！【#ホロの休日_仮 】
CVHLHL2018110800,Live,finished,2024-11-18T11:50:00Z,2024-11-18T11:50:06Z,Youtube,FwLPwiD2Gcs,CVHLHL2020112600:CVHLHL2020112601:CVHLHL2020112602:CVHLHL2020112603:CVHLHL2020112604,【MV】暁光クロニクル / 秘密結社holoX【#SSholoX】
CVHLHL2017090700,Live,finished,2024-11-23T05:00:00Z,2024-11-23T05:02:49Z,Youtube,aWO8YUTkctE,,【ネタバレあり】ロマンシング サガ2 リベンジオブザセブン～砂漠はやばい～【ホロライブ/ときのそら】
CVHLHL2017090700,Live,finished,2024-11-21T12:00:00Z,2024-11-21T12:02:18Z,Youtube,nOvmRcOctLo,,【HoloCure】全く動かない＆ハードコアでもわたしはいける【ホロライブ/ときのそら】
CVHLHL2017090700,Live,finished,2024-11-17T11:00:00Z,2024-11-17T11:00:57Z,Youtube,gK15-TedGLg,,【HoloCure】ついに来たアップデート！！やたああああ！！！【ホロライブ/ときのそら】
CVHLHL2017090700,Live,finished,2024-11-17T04:00:00Z,2024-11-17T04:03:21Z,Youtube,pArGBYkHPsg,,【ネタバレあり】ロマンシング サガ2 リベンジオブザセブン～ 次の地域にまったく進めない～【ホロライブ/ときのそら】
CVHLHL2017090700,Live,finished,2024-11-16T11:00:00Z,2024-11-16T10:59:04Z,Youtube,9opevcBpmgQ,CVHLHL2020040602,【イオそら】えっ！？わたしたちが推す側？～推しと話せる！ハングル基礎フレーズ～【ホロライブ/ときのそら/Airani iofifteen】
CVHLHL2018030400,Live,finished,2024-11-20T22:00:00Z,2024-11-20T22:00:39Z,Youtube,fYqL-TU7c4Q,,【朝活/HoloCure】ご飯をたべて、働いて…ホロコインを稼ぐ！！【ホロライブ / ロボ子さん】
CVHLHL2018030400,Live,finished,2024-11-17T09:00:00Z,2024-11-17T09:00:55Z,Youtube,ZD9tRKSyvnI,,【HoloCure】アプでだあああああああああああああああああああああ【ホロライブ / ロボ子さん】
CVHLHL2018030400,Live,finished,2024-11-16T00:00:00Z,2024-11-16T00:01:17Z,Youtube,5XTe2wAgy9I,,【KARAOKE】朝に歌いたくなるこの衝動はなに～～～？？【ホロライブ / ロボ子さん】
CVHLHL2018030400,Live,finished,2024-11-15T14:30:00Z,2024-11-15T14:31:45Z,Youtube,KpIyXzVNLB8,,【 GGO/公式同時視聴 】第七話！#ガンゲイル・オンラインⅡ をボクと一緒に見よおおおおおお 【ホロライブ / ロボ子さん】
CVHLHL2018030400,Live,finished,2024-11-14T07:00:00Z,2024-11-14T07:03:07Z,Youtube,roNpjgm0-mk,,【 ポケカ開封/カメラ 】ルチアが欲しい！RE：ポケカ開封ううううううううううう！！【ホロライブ / ロボ子さん】
CVHLHL2018122500,Live,live,2024-11-23T11:00:00Z,2024-11-23T11:03:43Z,Youtube,XGAiau_Wkdo,CVHLHL2018110800,【 空気読み｡4 】空気はな、読むもんやない、吸うもんや。【ホロライブ/さくらみこ】
CVHLHL2018122500,video,finished,2024-11-22T05:00:38Z,2024-11-22T05:00:38Z,Youtube,kxkGQrWppXo,,ソロライブドレス衣装控えめにいって神でしょ❔🌸🫶🏻うしろにミオスバ…#1135 #short
CVHLHL2018122500,Live,finished,2024-11-21T12:00:00Z,2024-11-21T12:03:43Z,Youtube,HVhII3CnvLc,CVHLHL2018110800,【 えりぃとサムネ屋 】復活✨ホロメンからのサムネ依頼もらったぜ！！！！！！！！【ホロライブ/さくらみこ】
CVHLHL2018122500,Live,finished,2024-11-20T11:30:00Z,2024-11-20T11:35:51Z,Youtube,2rv37fbHCJs,CVHLHL2018110800,【 HoloCure 】アプデきちゃあああ‼3＆4期生ガチャと新要素で遊ぶにぇぇぇえぇ～～～‼🌟【ホロライブ/さくらみこ】
CVHLHL2018122500,Live,finished,2024-11-20T10:00:00Z,2024-11-20T10:04:22Z,Youtube,eutMCbfyOgo,CVHLHL2018110800,【 DON'T SCREAM Ver1.0 】１時間以内にクリアするDON'T SCREAM Ver1.0！！さらに怖くなったってマジ・・・❓【ホロライブ/さくらみこ】
CVHLHL2019120100,Live,finished,2024-11-22T10:00:00Z,2024-11-22T10:01:20Z,Youtube,itXc3zCU-8Y,,今更⁉ 2 . 0 お 披 露 目 & グッズ告知☄【 星街すいせい / ホロライブ 】
CVHLHL2019120100,video,finished,2024-11-22T08:00:49Z,2024-11-22T08:00:49Z,Youtube,ujPyL7BpgNk,,新曲はもう聴いてくれたかな？👀✨サブスク配信中！⚡⚡⚡ライブツアーのアーカイブチケットも販売中!!
CVHLHL2019120100,video,finished,2024-11-21T08:00:19Z,2024-11-21T08:00:19Z,Youtube,DrdtC5WW8NI,,星街すいせいNew Single『AWAKE』ライブツアーにて初披露⚡✨アーカイブチケット販売中！✨
